station_id,variant,bmd_file,nasa_file,same_filename,same_columns,bmd_rows,nasa_rows,expected_rows_match,same_date_hour_keys,bmd_hours,nasa_hours,expected_hours_match,bmd_valid_dates,nasa_valid_dates,bmd_T2M_missing,bmd_T2M_min,bmd_T2M_max,bmd_RH2M_missing,bmd_RH2M_min,bmd_RH2M_max,bmd_PRECTOTCORR_missing,bmd_PRECTOTCORR_min,bmd_PRECTOTCORR_max,bmd_WS10M_missing,bmd_WS10M_min,bmd_WS10M_max,nasa_T2M_missing,nasa_T2M_min,nasa_T2M_max,nasa_RH2M_missing,nasa_RH2M_min,nasa_RH2M_max,nasa_PRECTOTCORR_missing,nasa_PRECTOTCORR_min,nasa_PRECTOTCORR_max,nasa_WS10M_missing,nasa_WS10M_min,nasa_WS10M_max
ambagan_ctg,3h_picked,data\processed\bmd_stations_3hourly\ambagan_ctg.csv,data\processed\nasa_station_data\3h_picked\ambagan_ctg.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,11.5,39.4,0,15,100,0,0.0,92.0,0,0.0,70.0,0,9.44,38.23,0,24.65,100.0,0,0.0,1367.86,0,0.04,14.87
ambagan_ctg,3h_average,data\processed\bmd_stations_3hourly\ambagan_ctg.csv,data\processed\nasa_station_data\3h_average\ambagan_ctg.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,11.5,39.4,0,15,100,0,0.0,92.0,0,0.0,70.0,0,9.48,38.42,0,24.67,100.0,0,0.0,1367.86,0,0.1399999999999999,14.283333333333331
barisal,3h_picked,data\processed\bmd_stations_3hourly\barisal.csv,data\processed\nasa_station_data\3h_picked\barisal.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,8.0,39.4,0,16,100,0,0.0,99.0,34,0.0,20.0,0,9.31,40.88,0,19.06,100.0,0,0.0,1325.52,0,0.04,18.51
barisal,3h_average,data\processed\bmd_stations_3hourly\barisal.csv,data\processed\nasa_station_data\3h_average\barisal.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,8.0,39.4,0,16,100,0,0.0,99.0,34,0.0,20.0,0,9.763333333333334,41.11666666666667,0,18.92333333333333,100.0,0,0.0,1325.52,0,0.1633333333333333,19.063333333333333
bhola,3h_picked,data\processed\bmd_stations_3hourly\bhola.csv,data\processed\nasa_station_data\3h_picked\bhola.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,8.6,39.0,0,17,100,0,0.0,75.6,0,0.0,24.0,0,9.88,39.21,0,21.77,100.0,0,0.0,1378.92,0,0.01,19.14
bhola,3h_average,data\processed\bmd_stations_3hourly\bhola.csv,data\processed\nasa_station_data\3h_average\bhola.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,8.6,39.0,0,17,100,0,0.0,75.6,0,0.0,24.0,0,10.203333333333331,39.29666666666667,0,21.89333333333333,100.0,0,0.0,1378.92,0,0.1166666666666666,18.99
bogra,3h_picked,data\processed\bmd_stations_3hourly\bogra.csv,data\processed\nasa_station_data\3h_picked\bogra.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,7.4,41.0,0,12,99,0,0.0,96.0,0,0.0,10.0,0,6.58,44.33,0,8.82,100.0,0,0.0,894.8299999999999,0,0.04,15.55
bogra,3h_average,data\processed\bmd_stations_3hourly\bogra.csv,data\processed\nasa_station_data\3h_average\bogra.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,7.4,41.0,0,12,99,0,0.0,96.0,0,0.0,10.0,0,7.276666666666667,44.50333333333333,0,9.08,100.0,0,0.0,894.8299999999999,0,0.0999999999999999,15.823333333333332
chandpur,3h_picked,data\processed\bmd_stations_3hourly\chandpur.csv,data\processed\nasa_station_data\3h_picked\chandpur.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,11.3,38.5,0,17,100,0,0.0,92.0,0,0.0,15.0,0,8.31,41.78,0,17.05,100.0,0,0.0,962.48,0,0.03,19.21
chandpur,3h_average,data\processed\bmd_stations_3hourly\chandpur.csv,data\processed\nasa_station_data\3h_average\chandpur.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,11.3,38.5,0,17,100,0,0.0,92.0,0,0.0,15.0,0,9.13,42.28,0,17.63,100.0,0,0.0,962.48,0,0.1433333333333333,18.46
chittagong,3h_picked,data\processed\bmd_stations_3hourly\chittagong.csv,data\processed\nasa_station_data\3h_picked\chittagong.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,12.6,37.8,0,14,100,0,0.0,97.0,0,0.0,35.0,0,9.44,38.23,0,24.65,100.0,0,0.0,1367.86,0,0.04,14.87
chittagong,3h_average,data\processed\bmd_stations_3hourly\chittagong.csv,data\processed\nasa_station_data\3h_average\chittagong.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,12.6,37.8,0,14,100,0,0.0,97.0,0,0.0,35.0,0,9.48,38.42,0,24.67,100.0,0,0.0,1367.86,0,0.1399999999999999,14.283333333333331
chuadanga,3h_picked,data\processed\bmd_stations_3hourly\chuadanga.csv,data\processed\nasa_station_data\3h_picked\chuadanga.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,6.4,43.0,0,8,100,0,0.0,73.0,0,0.0,15.0,0,5.36,47.21,0,5.42,100.0,0,0.0,523.38,0,0.05,14.96
chuadanga,3h_average,data\processed\bmd_stations_3hourly\chuadanga.csv,data\processed\nasa_station_data\3h_average\chuadanga.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,6.4,43.0,0,8,100,0,0.0,73.0,0,0.0,15.0,0,6.226666666666667,47.46,0,5.43,100.0,0,0.0,523.38,0,0.1266666666666666,15.383333333333333
comilla,3h_picked,data\processed\bmd_stations_3hourly\comilla.csv,data\processed\nasa_station_data\3h_picked\comilla.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,9.2,38.2,0,12,100,0,0.0,99.0,0,0.0,16.0,0,8.01,39.78,0,16.95,100.0,0,0.0,1723.84,0,0.02,16.07
comilla,3h_average,data\processed\bmd_stations_3hourly\comilla.csv,data\processed\nasa_station_data\3h_average\comilla.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,9.2,38.2,0,12,100,0,0.0,99.0,0,0.0,16.0,0,8.173333333333334,39.96666666666667,0,17.593333333333334,100.0,0,0.0,1723.84,0,0.11,16.16333333333333
cox_s_bazar,3h_picked,data\processed\bmd_stations_3hourly\cox_s_bazar.csv,data\processed\nasa_station_data\3h_picked\cox_s_bazar.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,2.0,37.5,0,11,100,0,0.0,94.0,0,0.0,27.0,0,15.97,32.78,0,36.77,100.0,0,0.0,4124.82,0,0.06,15.72
cox_s_bazar,3h_average,data\processed\bmd_stations_3hourly\cox_s_bazar.csv,data\processed\nasa_station_data\3h_average\cox_s_bazar.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,2.0,37.5,0,11,100,0,0.0,94.0,0,0.0,27.0,0,16.16,32.84666666666667,0,39.306666666666665,98.17666666666666,0,0.0,4124.82,0,0.1566666666666666,15.626666666666669
dhaka,3h_picked,data\processed\bmd_stations_3hourly\dhaka.csv,data\processed\nasa_station_data\3h_picked\dhaka.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,10.1,40.3,0,13,100,0,0.0,90.0,0,0.0,40.0,0,7.53,42.85,0,14.88,100.0,0,0.0,1778.41,0,0.03,18.25
dhaka,3h_average,data\processed\bmd_stations_3hourly\dhaka.csv,data\processed\nasa_station_data\3h_average\dhaka.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,10.1,40.3,0,13,100,0,0.0,90.0,0,0.0,40.0,0,8.406666666666666,42.82,0,15.443333333333332,100.0,0,0.0,1778.41,0,0.1033333333333333,18.176666666666662
dinajpur,3h_picked,data\processed\bmd_stations_3hourly\dinajpur.csv,data\processed\nasa_station_data\3h_picked\dinajpur.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,6.2,41.1,0,10,100,0,0.0,98.4,0,0.0,9.0,0,5.71,45.17,0,5.6,100.0,0,0.0,622.35,0,0.04,13.2
dinajpur,3h_average,data\processed\bmd_stations_3hourly\dinajpur.csv,data\processed\nasa_station_data\3h_average\dinajpur.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,6.2,41.1,0,10,100,0,0.0,98.4,0,0.0,9.0,0,6.4433333333333325,45.446666666666665,0,6.04,100.0,0,0.0,622.35,0,0.12,12.863333333333332
faridpur,3h_picked,data\processed\bmd_stations_3hourly\faridpur.csv,data\processed\nasa_station_data\3h_picked\faridpur.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,8.5,41.0,0,12,100,0,0.0,79.8,0,0.0,32.0,0,7.74,44.24,0,11.77,100.0,0,0.0,1306.33,0,0.05,17.33
faridpur,3h_average,data\processed\bmd_stations_3hourly\faridpur.csv,data\processed\nasa_station_data\3h_average\faridpur.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,8.5,41.0,0,12,100,0,0.0,79.8,0,0.0,32.0,0,8.709999999999999,44.67,0,14.49,100.0,0,0.0,1306.33,0,0.1433333333333333,17.436666666666667
feni,3h_picked,data\processed\bmd_stations_3hourly\feni.csv,data\processed\nasa_station_data\3h_picked\feni.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,8.5,39.4,0,12,100,2848,0.0,99.0,0,0.0,20.0,0,7.49,38.68,0,20.98,100.0,0,0.0,1077.92,0,0.03,16.42
feni,3h_average,data\processed\bmd_stations_3hourly\feni.csv,data\processed\nasa_station_data\3h_average\feni.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,8.5,39.4,0,12,100,2848,0.0,99.0,0,0.0,20.0,0,7.859999999999999,38.75666666666667,0,20.6,100.0,0,0.0,1077.92,0,0.1533333333333333,16.493333333333336
hatiya,3h_picked,data\processed\bmd_stations_3hourly\hatiya.csv,data\processed\nasa_station_data\3h_picked\hatiya.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,10.7,37.5,976,18.0,100.0,592,0.0,88.0,0,0.0,51.0,0,12.23,35.63,0,31.73,100.0,0,0.0,1340.01,0,0.07,20.21
hatiya,3h_average,data\processed\bmd_stations_3hourly\hatiya.csv,data\processed\nasa_station_data\3h_average\hatiya.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,10.7,37.5,976,18.0,100.0,592,0.0,88.0,0,0.0,51.0,0,12.983333333333334,35.35333333333333,0,32.4,100.0,0,0.0,1340.01,0,0.1866666666666666,20.24
ishurdi,3h_picked,data\processed\bmd_stations_3hourly\ishurdi.csv,data\processed\nasa_station_data\3h_picked\ishurdi.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,6.6,43.0,0,3,100,0,0.0,83.0,0,0.0,10.0,0,5.33,46.54,0,6.28,100.0,0,0.0,701.78,0,0.04,14.92
ishurdi,3h_average,data\processed\bmd_stations_3hourly\ishurdi.csv,data\processed\nasa_station_data\3h_average\ishurdi.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,6.6,43.0,0,3,100,0,0.0,83.0,0,0.0,10.0,0,6.136666666666667,46.78666666666667,0,6.45,100.0,0,0.0,701.78,0,0.1066666666666666,14.696666666666667
jessore,3h_picked,data\processed\bmd_stations_3hourly\jessore.csv,data\processed\nasa_station_data\3h_picked\jessore.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,7.8,43.6,0,14,100,0,0.0,99.0,34,0.0,63.0,0,6.2,46.71,0,7.46,100.0,0,0.0,1282.6,0,0.04,16.18
jessore,3h_average,data\processed\bmd_stations_3hourly\jessore.csv,data\processed\nasa_station_data\3h_average\jessore.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,7.8,43.6,0,14,100,0,0.0,99.0,34,0.0,63.0,0,7.246666666666667,46.98,0,8.416666666666666,100.0,0,0.0,1282.6,0,0.1099999999999999,15.7
khepupara,3h_picked,data\processed\bmd_stations_3hourly\khepupara.csv,data\processed\nasa_station_data\3h_picked\khepupara.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,9.1,39.4,0,18,100,0,0.0,90.0,0,0.0,21.0,0,10.38,38.96,0,16.14,100.0,0,0.0,1914.59,0,0.07,16.54
khepupara,3h_average,data\processed\bmd_stations_3hourly\khepupara.csv,data\processed\nasa_station_data\3h_average\khepupara.csv,True,True,11688,11688,True,True,"0,3,6,9,12,15,18,21","0,3,6,9,12,15,18,21",True,True,True,0,9.1,39.4,0,18,100,0,0.0,90.0,0,0.0,21.0,0,10.933333333333332,39.11666666666667,0,16.313333333333336,100.0,0,0.0,1914.59,0,0.0999999999999999,16.62
